model,layer,patch,ctrl_mean,ctrl_std,adhd_mean,adhd_std,n_seeds
ExpC,0,21,0.030852127820253372,0.004889757372438908,0.03090760111808777,0.005002668593078852,5
ExpC,0,22,0.03561800718307495,0.003532030154019594,0.035768721252679825,0.0036018039099872112,5
ExpC,0,23,0.045672666281461716,0.002912783296778798,0.04628349095582962,0.002912825671955943,5
ExpC,1,0,0.047491367906332016,0.0032354509457945824,0.048205237835645676,0.004026344045996666,5
ExpC,1,1,0.04746171459555626,0.002998631913214922,0.04662340134382248,0.0030366508290171623,5
ExpC,1,2,0.04629117622971535,0.0019716962706297636,0.04345576837658882,0.0009174506412819028,5
ExpC,1,3,0.04517759755253792,0.001305634854361415,0.04363962262868881,0.0011571935610845685,5
ExpC,1,4,0.04107966274023056,0.001772009884007275,0.04121916741132736,0.0018046580953523517,5
ExpC,1,5,0.04168621450662613,0.001100465189665556,0.0423954613506794,0.0009162385249510407,5
ExpC,1,6,0.03920101374387741,0.0007711590733379126,0.04038148373365402,0.0005902941338717937,5
ExpC,1,7,0.03987666219472885,0.0012369020842015743,0.04047231376171112,0.0007019225158728659,5
ExpC,1,8,0.04227878898382187,0.0016459607286378741,0.04232924431562424,0.0015669680433347821,5
ExpC,1,9,0.04011496901512146,0.0015357100637629628,0.04069610312581062,0.0012742235558107495,5
ExpC,1,10,0.039020705968141556,0.0004950349102728069,0.03986761346459389,0.00047916045878082514,5
ExpC,1,11,0.038327764719724655,0.0007835985161364079,0.03908175602555275,0.000732381537090987,5
ExpC,1,12,0.03921927139163017,0.0007226726156659424,0.039665259420871735,0.0006929260562174022,5
